AuthorID,Author,Date,Content,Attachments,Reactions
7.57355E+17,neko neko#4061,2020-09-23 8:12,BTO PTON 9/25 105c @1.19 (scalp/day-trade) @here,,"BullTrades (9),👍 (5),vince (3),100000 (3),🥺 (1)"
7.57355E+17,neko neko#4061,2020-09-23 8:23,BTO FDX 9/25 260c @.50 (scalp/day-trade) @here,,BullTrades (4)
7.57355E+17,neko neko#4061,2020-09-23 8:31,"small accounts, 25% on FDX. lock some in.",,
7.57355E+17,neko neko#4061,2020-09-23 8:54,"@here we can give ROKU this last 10m candle and see if it reclaims, if not I will post SL.",,👍 (1)
7.57355E+17,neko neko#4061,2020-09-23 8:54,a bit of conviction on this ticker for me..it has been well to me in the past.,,
7.57355E+17,neko neko#4061,2020-09-23 8:55,193 big level,,
7.57355E+17,neko neko#4061,2020-09-23 9:26,STC ROKU 9/25 225c @.18 (scalp/day-trade),,"BullTrades (2),😪 (3)"
7.57355E+17,neko neko#4061,2020-09-23 9:49,PTON was 100 pt magnet all.. I am sorry it was not alerted it in here.  i got caught up in #💬︱free-trading-chat... i'm newer to discord and need another monitor. I myself am still in a piece of PTON. 97.35 could be a SL,,😪 (8)
7.57355E+17,neko neko#4061,2020-09-23 9:50,...my bad.,https://cdn.discordapp.com/attachments/738943464259059752/758354538624188554/Screen_Shot_2020-09-23_at_8.49.52_AM.png,
7.57355E+17,neko neko#4061,2020-09-23 9:50,"100.12, 102 upside, PTON.",,
2.69994E+17,Cblast#2108,2020-09-23 10:12,"BTO FB 260c 10/2 @ 3.80 ( swing planned , potential scalp over 40%)",,BullTrades (7)
2.69994E+17,Cblast#2108,2020-09-23 10:12,@here,,
2.69994E+17,Cblast#2108,2020-09-23 10:13,First test VWAP 254.97,,
2.69994E+17,Cblast#2108,2020-09-23 10:14,Stop below 250.87,,
2.69994E+17,Cblast#2108,2020-09-23 10:14,Price Target: 259.10,,"🔥 (8),zucc (3)"
